_id,quarter,industry1,industry2,industry3,employment_change
3205,2017-Q3,services,transportation and storage,air transport and supporting services,-0.4
3206,2017-Q3,services,transportation and storage,other transportation and storage services,0.1
3207,2017-Q3,services,accommodation and food services,accommodation,1.3
3208,2017-Q3,services,accommodation and food services,food and beverage services,0.1
3209,2017-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.1
3210,2017-Q3,services,information and communications,it and other information services,1
3211,2017-Q3,services,financial and insurance services,financial services,1.2
3212,2017-Q3,services,financial and insurance services,insurance services,0.8
3213,2017-Q3,services,real estate services,real estate services,0.4
3214,2017-Q3,services,professional services,"legal, accounting and management services",1.8
3215,2017-Q3,services,professional services,architectural and engineering services,-0.3
3216,2017-Q3,services,professional services,other professional services,0.2
3217,2017-Q3,services,administrative and support services,security and investigation,1
3218,2017-Q3,services,administrative and support services,cleaning and landscaping,-
3219,2017-Q3,services,administrative and support services,other administrative and support services,-1.3
3220,2017-Q3,services,"community, social and personal services",public administration and education,-
3221,2017-Q3,services,"community, social and personal services",public administration,-0.4
3222,2017-Q3,services,"community, social and personal services",education,0.5
3223,2017-Q3,services,"community, social and personal services",health and social services,1
3224,2017-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.3
3225,2017-Q3,services,"community, social and personal services","other community, social and personal services",2.4
3226,2017-Q3,others,others,others,-
3227,2017-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.7
3228,2017-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.4
3229,2017-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.7
3230,2017-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.1
3231,2017-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",2.4
3232,2017-Q4,manufacturing,transport equipment,transport equipment,-3.2
3233,2017-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
3234,2017-Q4,construction,construction,construction,-4.9
3235,2017-Q4,services,wholesale and retail trade,wholesale trade,1.1
3236,2017-Q4,services,wholesale and retail trade,retail trade,3.9
3237,2017-Q4,services,transportation and storage,land transport and supporting services,0.9
3238,2017-Q4,services,transportation and storage,water transport and supporting services,-0.4
3239,2017-Q4,services,transportation and storage,air transport and supporting services,2.1
3240,2017-Q4,services,transportation and storage,other transportation and storage services,0.6
3241,2017-Q4,services,accommodation and food services,accommodation,-0.2
3242,2017-Q4,services,accommodation and food services,food and beverage services,3.3
3243,2017-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.1
3244,2017-Q4,services,information and communications,it and other information services,0.7
3245,2017-Q4,services,financial and insurance services,financial services,-1
3246,2017-Q4,services,financial and insurance services,insurance services,0.3
3247,2017-Q4,services,real estate services,real estate services,-0.2
3248,2017-Q4,services,professional services,"legal, accounting and management services",0.5
3249,2017-Q4,services,professional services,architectural and engineering services,-0.1
3250,2017-Q4,services,professional services,other professional services,0.1
3251,2017-Q4,services,administrative and support services,security and investigation,0.2
3252,2017-Q4,services,administrative and support services,cleaning and landscaping,1.1
3253,2017-Q4,services,administrative and support services,other administrative and support services,2.4
3254,2017-Q4,services,"community, social and personal services",public administration and education,0.4
3255,2017-Q4,services,"community, social and personal services",public administration,0.1
3256,2017-Q4,services,"community, social and personal services",education,0.2
3257,2017-Q4,services,"community, social and personal services",health and social services,1.3
3258,2017-Q4,services,"community, social and personal services","arts, entertainment and recreation",0.4
3259,2017-Q4,services,"community, social and personal services","other community, social and personal services",2
3260,2017-Q4,others,others,others,-0.5
3261,2018-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5
3262,2018-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.3
3263,2018-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.6
3264,2018-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-
3265,2018-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.7
3266,2018-Q1,manufacturing,transport equipment,transport equipment,-3.1
3267,2018-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.2
3268,2018-Q1,construction,construction,construction,-5.6
3269,2018-Q1,services,wholesale and retail trade,wholesale trade,0.2
3270,2018-Q1,services,wholesale and retail trade,retail trade,-1.9
3271,2018-Q1,services,transportation and storage,land transport and supporting services,1.8
3272,2018-Q1,services,transportation and storage,water transport and supporting services,-0.2
3273,2018-Q1,services,transportation and storage,air transport and supporting services,0.2
3274,2018-Q1,services,transportation and storage,other transportation and storage services,0.3
3275,2018-Q1,services,accommodation and food services,accommodation,-0.5
3276,2018-Q1,services,accommodation and food services,food and beverage services,-0.6
3277,2018-Q1,services,information and communications,"telecommunications, broadcasting and publishing",-
3278,2018-Q1,services,information and communications,it and other information services,1.1
3279,2018-Q1,services,financial and insurance services,financial services,1.6
3280,2018-Q1,services,financial and insurance services,insurance services,0.3
3281,2018-Q1,services,real estate services,real estate services,0.3
3282,2018-Q1,services,professional services,"legal, accounting and management services",1.1
3283,2018-Q1,services,professional services,architectural and engineering services,-0.2
3284,2018-Q1,services,professional services,other professional services,-0.1
3285,2018-Q1,services,administrative and support services,security and investigation,0.6
3286,2018-Q1,services,administrative and support services,cleaning and landscaping,0.1
3287,2018-Q1,services,administrative and support services,other administrative and support services,1.3
3288,2018-Q1,services,"community, social and personal services",public administration and education,1.8
3289,2018-Q1,services,"community, social and personal services",public administration,1.6
3290,2018-Q1,services,"community, social and personal services",education,0.2
3291,2018-Q1,services,"community, social and personal services",health and social services,1.9
3292,2018-Q1,services,"community, social and personal services","arts, entertainment and recreation",0.2
3293,2018-Q1,services,"community, social and personal services","other community, social and personal services",3.4
3294,2018-Q1,others,others,others,-
3295,2018-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
3296,2018-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.4
3297,2018-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.4
3298,2018-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.5
3299,2018-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.2
3300,2018-Q2,manufacturing,transport equipment,transport equipment,-1.5
3301,2018-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-
3302,2018-Q2,construction,construction,construction,-0.8
3303,2018-Q2,services,wholesale and retail trade,wholesale trade,0.8
3304,2018-Q2,services,wholesale and retail trade,retail trade,-2.5
3305,2018-Q2,services,transportation and storage,land transport and supporting services,1.5
3306,2018-Q2,services,transportation and storage,water transport and supporting services,-0.1
3307,2018-Q2,services,transportation and storage,air transport and supporting services,0.3
3308,2018-Q2,services,transportation and storage,other transportation and storage services,1.1
3309,2018-Q2,services,accommodation and food services,accommodation,-0.7
3310,2018-Q2,services,accommodation and food services,food and beverage services,-0.8
3311,2018-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.5
3312,2018-Q2,services,information and communications,it and other information services,2
3313,2018-Q2,services,financial and insurance services,financial services,1.4
3314,2018-Q2,services,financial and insurance services,insurance services,0.5
3315,2018-Q2,services,real estate services,real estate services,0.2
3316,2018-Q2,services,professional services,"legal, accounting and management services",0.6
3317,2018-Q2,services,professional services,architectural and engineering services,0.2
3318,2018-Q2,services,professional services,other professional services,0.4
3319,2018-Q2,services,administrative and support services,security and investigation,0.1
3320,2018-Q2,services,administrative and support services,cleaning and landscaping,-0.1
3321,2018-Q2,services,administrative and support services,other administrative and support services,-0.3
3322,2018-Q2,services,"community, social and personal services",public administration and education,-0.1
3323,2018-Q2,services,"community, social and personal services",public administration,-0.7
3324,2018-Q2,services,"community, social and personal services",education,0.6
3325,2018-Q2,services,"community, social and personal services",health and social services,2
3326,2018-Q2,services,"community, social and personal services","arts, entertainment and recreation",0.3
3327,2018-Q2,services,"community, social and personal services","other community, social and personal services",-0.1
3328,2018-Q2,others,others,others,-
3329,2018-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.6
3330,2018-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.2
3331,2018-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.3
3332,2018-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-1.4
3333,2018-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",7.9
3334,2018-Q3,manufacturing,transport equipment,transport equipment,1.5
3335,2018-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.1
3336,2018-Q3,construction,construction,construction,-0.3
3337,2018-Q3,services,wholesale and retail trade,wholesale trade,2
3338,2018-Q3,services,wholesale and retail trade,retail trade,-1
3339,2018-Q3,services,transportation and storage,land transport and supporting services,1.5
3340,2018-Q3,services,transportation and storage,water transport and supporting services,-0.3
3341,2018-Q3,services,transportation and storage,air transport and supporting services,0.3
3342,2018-Q3,services,transportation and storage,other transportation and storage services,0.4
3343,2018-Q3,services,accommodation and food services,accommodation,1.1
3344,2018-Q3,services,accommodation and food services,food and beverage services,0.1
3345,2018-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.2
3346,2018-Q3,services,information and communications,it and other information services,2.8
3347,2018-Q3,services,financial and insurance services,financial services,-4.1
3348,2018-Q3,services,financial and insurance services,insurance services,0.3
3349,2018-Q3,services,real estate services,real estate services,-
3350,2018-Q3,services,professional services,"legal, accounting and management services",2.1
3351,2018-Q3,services,professional services,architectural and engineering services,0.6
3352,2018-Q3,services,professional services,other professional services,-0.1
3353,2018-Q3,services,administrative and support services,security and investigation,0.4
3354,2018-Q3,services,administrative and support services,cleaning and landscaping,0.2
3355,2018-Q3,services,administrative and support services,other administrative and support services,-1.9
3356,2018-Q3,services,"community, social and personal services",public administration and education,1.2
3357,2018-Q3,services,"community, social and personal services",public administration,-0.1
3358,2018-Q3,services,"community, social and personal services",education,1.3
3359,2018-Q3,services,"community, social and personal services",health and social services,1.1
3360,2018-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.2
3361,2018-Q3,services,"community, social and personal services","other community, social and personal services",2.7
3362,2018-Q3,others,others,others,-0.2
3363,2018-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
3364,2018-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.3
3365,2018-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-1.2
3366,2018-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.5
3367,2018-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.3
3368,2018-Q4,manufacturing,transport equipment,transport equipment,0.1
3369,2018-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
3370,2018-Q4,construction,construction,construction,-0.4
3371,2018-Q4,services,wholesale and retail trade,wholesale trade,0.8
3372,2018-Q4,services,wholesale and retail trade,retail trade,3.3
3373,2018-Q4,services,transportation and storage,land transport and supporting services,0.4
3374,2018-Q4,services,transportation and storage,water transport and supporting services,-
3375,2018-Q4,services,transportation and storage,air transport and supporting services,0.4
3376,2018-Q4,services,transportation and storage,other transportation and storage services,0.5
3377,2018-Q4,services,accommodation and food services,accommodation,-0.7
3378,2018-Q4,services,accommodation and food services,food and beverage services,3.8
3379,2018-Q4,services,information and communications,"telecommunications, broadcasting and publishing",-0.3
3380,2018-Q4,services,information and communications,it and other information services,1.7
3381,2018-Q4,services,financial and insurance services,financial services,0.9
3382,2018-Q4,services,financial and insurance services,insurance services,0.1
3383,2018-Q4,services,real estate services,real estate services,-
3384,2018-Q4,services,professional services,"legal, accounting and management services",0.9
3385,2018-Q4,services,professional services,architectural and engineering services,-
3386,2018-Q4,services,professional services,other professional services,-0.1
3387,2018-Q4,services,administrative and support services,security and investigation,0.2
3388,2018-Q4,services,administrative and support services,cleaning and landscaping,-
3389,2018-Q4,services,administrative and support services,other administrative and support services,2.7
3390,2018-Q4,services,"community, social and personal services",public administration and education,0.9
3391,2018-Q4,services,"community, social and personal services",public administration,-
3392,2018-Q4,services,"community, social and personal services",education,0.9
3393,2018-Q4,services,"community, social and personal services",health and social services,0.7
3394,2018-Q4,services,"community, social and personal services","arts, entertainment and recreation",0.4
3395,2018-Q4,services,"community, social and personal services","other community, social and personal services",1.3
3396,2018-Q4,others,others,others,0.1
3397,2019-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5
3398,2019-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.3
3399,2019-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.2
3400,2019-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.5
3401,2019-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-2
3402,2019-Q1,manufacturing,transport equipment,transport equipment,-0.7
3403,2019-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.3
3404,2019-Q1,construction,construction,construction,-
3405,2019-Q1,services,wholesale and retail trade,wholesale trade,-1.1
3406,2019-Q1,services,wholesale and retail trade,retail trade,-0.7
3407,2019-Q1,services,transportation and storage,land transport and supporting services,0.3
3408,2019-Q1,services,transportation and storage,water transport and supporting services,-0.1
3409,2019-Q1,services,transportation and storage,air transport and supporting services,0.3
3410,2019-Q1,services,transportation and storage,other transportation and storage services,0.5
3411,2019-Q1,services,accommodation and food services,accommodation,-0.3
3412,2019-Q1,services,accommodation and food services,food and beverage services,0.8
3413,2019-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.1
3414,2019-Q1,services,information and communications,it and other information services,1.3
3415,2019-Q1,services,financial and insurance services,financial services,1.5
3416,2019-Q1,services,financial and insurance services,insurance services,0.3
3417,2019-Q1,services,real estate services,real estate services,-
3418,2019-Q1,services,professional services,"legal, accounting and management services",2.3
3419,2019-Q1,services,professional services,architectural and engineering services,0.1
3420,2019-Q1,services,professional services,other professional services,0.6
3421,2019-Q1,services,administrative and support services,security and investigation,0.5
3422,2019-Q1,services,administrative and support services,cleaning and landscaping,1.3
3423,2019-Q1,services,administrative and support services,other administrative and support services,0.4
3424,2019-Q1,services,"community, social and personal services",public administration and education,2.8
3425,2019-Q1,services,"community, social and personal services",public administration,1.3
3426,2019-Q1,services,"community, social and personal services",education,1.5
3427,2019-Q1,services,"community, social and personal services",health and social services,1.2
3428,2019-Q1,services,"community, social and personal services","arts, entertainment and recreation",0.9
3429,2019-Q1,services,"community, social and personal services","other community, social and personal services",3.4
3430,2019-Q1,others,others,others,0.1
3431,2019-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
3432,2019-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.4
3433,2019-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.5
3434,2019-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.3
3435,2019-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.3
3436,2019-Q2,manufacturing,transport equipment,transport equipment,0.6
3437,2019-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-0.5
3438,2019-Q2,construction,construction,construction,2.7
3439,2019-Q2,services,wholesale and retail trade,wholesale trade,-0.5
3440,2019-Q2,services,wholesale and retail trade,retail trade,-2.6
3441,2019-Q2,services,transportation and storage,land transport and supporting services,0.1
3442,2019-Q2,services,transportation and storage,water transport and supporting services,-0.2
3443,2019-Q2,services,transportation and storage,air transport and supporting services,0.4
3444,2019-Q2,services,transportation and storage,other transportation and storage services,-0.1
3445,2019-Q2,services,accommodation and food services,accommodation,-0.3
3446,2019-Q2,services,accommodation and food services,food and beverage services,1
3447,2019-Q2,services,information and communications,"telecommunications, broadcasting and publishing",-
3448,2019-Q2,services,information and communications,it and other information services,2.4
3449,2019-Q2,services,financial and insurance services,financial services,1.2
3450,2019-Q2,services,financial and insurance services,insurance services,0.4
3451,2019-Q2,services,real estate services,real estate services,0.3
3452,2019-Q2,services,professional services,"legal, accounting and management services",1.3
3453,2019-Q2,services,professional services,architectural and engineering services,-
3454,2019-Q2,services,professional services,other professional services,0.7
3455,2019-Q2,services,administrative and support services,security and investigation,0.2
3456,2019-Q2,services,administrative and support services,cleaning and landscaping,0.7
3457,2019-Q2,services,administrative and support services,other administrative and support services,-0.8
3458,2019-Q2,services,"community, social and personal services",public administration and education,-0.1
3459,2019-Q2,services,"community, social and personal services",public administration,-1
3460,2019-Q2,services,"community, social and personal services",education,0.9
3461,2019-Q2,services,"community, social and personal services",health and social services,1.7
3462,2019-Q2,services,"community, social and personal services","arts, entertainment and recreation",-
3463,2019-Q2,services,"community, social and personal services","other community, social and personal services",-0.1
3464,2019-Q2,others,others,others,-0.5
3465,2019-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5
3466,2019-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.3
3467,2019-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.2
3468,2019-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.5
3469,2019-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.8
3470,2019-Q3,manufacturing,transport equipment,transport equipment,1.3
3471,2019-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.3
3472,2019-Q3,construction,construction,construction,5.4
3473,2019-Q3,services,wholesale and retail trade,wholesale trade,-0.4
3474,2019-Q3,services,wholesale and retail trade,retail trade,-1.1
3475,2019-Q3,services,transportation and storage,land transport and supporting services,-
3476,2019-Q3,services,transportation and storage,water transport and supporting services,-0.1
3477,2019-Q3,services,transportation and storage,air transport and supporting services,-
3478,2019-Q3,services,transportation and storage,other transportation and storage services,0.1
3479,2019-Q3,services,accommodation and food services,accommodation,1.1
3480,2019-Q3,services,accommodation and food services,food and beverage services,1.2
3481,2019-Q3,services,information and communications,"telecommunications, broadcasting and publishing",-
3482,2019-Q3,services,information and communications,it and other information services,2.6
3483,2019-Q3,services,financial and insurance services,financial services,1.4
3484,2019-Q3,services,financial and insurance services,insurance services,0.1
3485,2019-Q3,services,real estate services,real estate services,0.6
3486,2019-Q3,services,professional services,"legal, accounting and management services",3.1
3487,2019-Q3,services,professional services,architectural and engineering services,0.4
3488,2019-Q3,services,professional services,other professional services,0.5
3489,2019-Q3,services,administrative and support services,security and investigation,0.5
3490,2019-Q3,services,administrative and support services,cleaning and landscaping,0.5
3491,2019-Q3,services,administrative and support services,other administrative and support services,1.9
3492,2019-Q3,services,"community, social and personal services",public administration and education,1.6
3493,2019-Q3,services,"community, social and personal services",public administration,0.7
3494,2019-Q3,services,"community, social and personal services",education,0.9
3495,2019-Q3,services,"community, social and personal services",health and social services,2
3496,2019-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.2
3497,2019-Q3,services,"community, social and personal services","other community, social and personal services",5.1
3498,2019-Q3,others,others,others,-
3499,2019-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5
3500,2019-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.1
3501,2019-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.2
3502,2019-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.4
3503,2019-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.6
3504,2019-Q4,manufacturing,transport equipment,transport equipment,1.9
3505,2019-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.4
3506,2019-Q4,construction,construction,construction,4.2
3507,2019-Q4,services,wholesale and retail trade,wholesale trade,-0.4
3508,2019-Q4,services,wholesale and retail trade,retail trade,2.7
3509,2019-Q4,services,transportation and storage,land transport and supporting services,0.6
3510,2019-Q4,services,transportation and storage,water transport and supporting services,-
3511,2019-Q4,services,transportation and storage,air transport and supporting services,0.3
3512,2019-Q4,services,transportation and storage,other transportation and storage services,0.5
3513,2019-Q4,services,accommodation and food services,accommodation,-0.5
3514,2019-Q4,services,accommodation and food services,food and beverage services,3.6
3515,2019-Q4,services,information and communications,"telecommunications, broadcasting and publishing",-0.1
3516,2019-Q4,services,information and communications,it and other information services,1.2
3517,2019-Q4,services,financial and insurance services,financial services,0.9
3518,2019-Q4,services,financial and insurance services,insurance services,0.3
3519,2019-Q4,services,real estate services,real estate services,-
3520,2019-Q4,services,professional services,"legal, accounting and management services",1.3
3521,2019-Q4,services,professional services,architectural and engineering services,0.2
3522,2019-Q4,services,professional services,other professional services,0.4
3523,2019-Q4,services,administrative and support services,security and investigation,-0.2
3524,2019-Q4,services,administrative and support services,cleaning and landscaping,-0.2
3525,2019-Q4,services,administrative and support services,other administrative and support services,2.4
3526,2019-Q4,services,"community, social and personal services",public administration and education,0.7
3527,2019-Q4,services,"community, social and personal services",public administration,0.1
3528,2019-Q4,services,"community, social and personal services",education,0.6
3529,2019-Q4,services,"community, social and personal services",health and social services,1.2
3530,2019-Q4,services,"community, social and personal services","arts, entertainment and recreation",-0.5
3531,2019-Q4,services,"community, social and personal services","other community, social and personal services",1.7
3532,2019-Q4,others,others,others,0.1
3533,2020-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.6
3534,2020-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.4
3535,2020-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.5
3536,2020-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.5
3537,2020-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.3
3538,2020-Q1,manufacturing,transport equipment,transport equipment,0.5
3539,2020-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-1.2
3540,2020-Q1,construction,construction,construction,-5.9
3541,2020-Q1,services,wholesale and retail trade,wholesale trade,-3.2
3542,2020-Q1,services,wholesale and retail trade,retail trade,-5.3
3543,2020-Q1,services,transportation and storage,land transport and supporting services,0.8
3544,2020-Q1,services,transportation and storage,water transport and supporting services,-
3545,2020-Q1,services,transportation and storage,air transport and supporting services,-0.6
3546,2020-Q1,services,transportation and storage,other transportation and storage services,0.3
3547,2020-Q1,services,accommodation and food services,accommodation,-2.6
3548,2020-Q1,services,accommodation and food services,food and beverage services,-8.1
3549,2020-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.2
3550,2020-Q1,services,information and communications,it and other information services,0.5
3551,2020-Q1,services,financial and insurance services,financial services,2.2
3552,2020-Q1,services,financial and insurance services,insurance services,0.5
3553,2020-Q1,services,real estate services,real estate services,-1.5
3554,2020-Q1,services,professional services,"legal, accounting and management services",2
3555,2020-Q1,services,professional services,architectural and engineering services,0.7
3556,2020-Q1,services,professional services,other professional services,-0.4
3557,2020-Q1,services,administrative and support services,security and investigation,0.4
3558,2020-Q1,services,administrative and support services,cleaning and landscaping,-0.3
3559,2020-Q1,services,administrative and support services,other administrative and support services,-2.1
3560,2020-Q1,services,"community, social and personal services",public administration and education,2.4
3561,2020-Q1,services,"community, social and personal services",public administration,2.2
3562,2020-Q1,services,"community, social and personal services",education,0.2
3563,2020-Q1,services,"community, social and personal services",health and social services,0.8
3564,2020-Q1,services,"community, social and personal services","arts, entertainment and recreation",-2.3
3565,2020-Q1,services,"community, social and personal services","other community, social and personal services",-0.9
3566,2020-Q1,others,others,others,0.1
3567,2020-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-1.6
3568,2020-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.6
3569,2020-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-1.3
3570,2020-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-2.4
3571,2020-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1
3572,2020-Q2,manufacturing,transport equipment,transport equipment,-2.9
3573,2020-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-1
3574,2020-Q2,construction,construction,construction,-13.5
3575,2020-Q2,services,wholesale and retail trade,wholesale trade,-7.6
3576,2020-Q2,services,wholesale and retail trade,retail trade,-8
3577,2020-Q2,services,transportation and storage,land transport and supporting services,-0.4
3578,2020-Q2,services,transportation and storage,water transport and supporting services,-0.9
3579,2020-Q2,services,transportation and storage,air transport and supporting services,-3.3
3580,2020-Q2,services,transportation and storage,other transportation and storage services,-
3581,2020-Q2,services,accommodation and food services,accommodation,-4.4
3582,2020-Q2,services,accommodation and food services,food and beverage services,-23.4
3583,2020-Q2,services,information and communications,"telecommunications, broadcasting and publishing",-0.9
3584,2020-Q2,services,information and communications,it and other information services,0.1
3585,2020-Q2,services,financial and insurance services,financial services,-1
3586,2020-Q2,services,financial and insurance services,insurance services,0.1
3587,2020-Q2,services,real estate services,real estate services,-2.4
3588,2020-Q2,services,professional services,"legal, accounting and management services",-2.1
3589,2020-Q2,services,professional services,architectural and engineering services,-0.8
3590,2020-Q2,services,professional services,other professional services,-1
3591,2020-Q2,services,administrative and support services,security and investigation,-0.4
3592,2020-Q2,services,administrative and support services,cleaning and landscaping,-4.2
3593,2020-Q2,services,administrative and support services,other administrative and support services,-3.3
3594,2020-Q2,services,"community, social and personal services",public administration and education,-4.5
3595,2020-Q2,services,"community, social and personal services",public administration,-0.6
3596,2020-Q2,services,"community, social and personal services",education,-3.9
3597,2020-Q2,services,"community, social and personal services",health and social services,-1.4
3598,2020-Q2,services,"community, social and personal services","arts, entertainment and recreation",-7.3
3599,2020-Q2,services,"community, social and personal services","other community, social and personal services",-13.7
3600,2020-Q2,others,others,others,-0.5
3601,2020-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.8
3602,2020-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.9
3603,2020-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-2.2
3604,2020-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-2.9
3605,2020-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-2.8
3606,2020-Q3,manufacturing,transport equipment,transport equipment,-3.4
3607,2020-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-1.7
3608,2020-Q3,construction,construction,construction,-16.8
3609,2020-Q3,services,wholesale and retail trade,wholesale trade,-1.8
3610,2020-Q3,services,wholesale and retail trade,retail trade,0.7
3611,2020-Q3,services,transportation and storage,land transport and supporting services,0.3
3612,2020-Q3,services,transportation and storage,water transport and supporting services,-0.5
3613,2020-Q3,services,transportation and storage,air transport and supporting services,-3.4
3614,2020-Q3,services,transportation and storage,other transportation and storage services,0.2
3615,2020-Q3,services,accommodation and food services,accommodation,-1.9
3616,2020-Q3,services,accommodation and food services,food and beverage services,5.4
3617,2020-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.3
3618,2020-Q3,services,information and communications,it and other information services,1.3
3619,2020-Q3,services,financial and insurance services,financial services,-
3620,2020-Q3,services,financial and insurance services,insurance services,0.4
3621,2020-Q3,services,real estate services,real estate services,-1.9
3622,2020-Q3,services,professional services,"legal, accounting and management services",0.4
3623,2020-Q3,services,professional services,architectural and engineering services,-0.7
3624,2020-Q3,services,professional services,other professional services,-0.2
3625,2020-Q3,services,administrative and support services,security and investigation,0.1
